from,to,code
A-B-C-E-G-H-J-K-L,E1J,E1
A-B-C-E-G-H-J-K-L,E1N,F1
A-B-C-E-G-H-J-K-L,E1V,F1
A-B-C-E-G-H-J-K-L,E1W,F3
A-B-C-E-G-H-J-K-L,E1X,F3
A-B-C-E-G-H-J-K-L,E2A,F1
A-B-C-E-G-H-J-K-L,E2E,E1
A-B-C-E-G-H-J-K-L,E2G,E1
A-B-C-E-G-H-J-K-L,E2H,E1
A-B-C-E-G-H-J-K-L,E2J,E1
A-B-C-E-G-H-J-K-L,E2K,E1
A-B-C-E-G-H-J-K-L,E2L,E1
A-B-C-E-G-H-J-K-L,E2M,E1
A-B-C-E-G-H-J-K-L,E2N,E1
A-B-C-E-G-H-J-K-L,E2P,E1
A-B-C-E-G-H-J-K-L,E2R,E1
A-B-C-E-G-H-J-K-L,E2S,E1
A-B-C-E-G-H-J-K-L,E2V,F1
A-B-C-E-G-H-J-K-L,E3A,E1
A-B-C-E-G-H-J-K-L,E3B,E1
A-B-C-E-G-H-J-K-L,E3C,E1
A-B-C-E-G-H-J-K-L,E3E,E1
A-B-C-E-G-H-J-K-L,E3G,E1
A-B-C-E-G-H-J-K-L,E3L,F1
A-B-C-E-G-H-J-K-L,E3N,F1
A-B-C-E-G-H-J-K-L,E3V,F1
A-B-C-E-G-H-J-K-L,E3Y,F3
A-B-C-E-G-H-J-K-L,E3Z,F3
A-B-C-E-G-H-J-K-L,E4A,F3
A-B-C-E-G-H-J-K-L,E4B,F3
A-B-C-E-G-H-J-K-L,E4C,F3
A-B-C-E-G-H-J-K-L,E4E,F3
A-B-C-E-G-H-J-K-L,E4G,F3
A-B-C-E-G-H-J-K-L,E4H,F3
A-B-C-E-G-H-J-K-L,E4J,F3
A-B-C-E-G-H-J-K-L,E4K,F3
A-B-C-E-G-H-J-K-L,E4L,F3
A-B-C-E-G-H-J-K-L,E4M,F3
A-B-C-E-G-H-J-K-L,E4N,F3
A-B-C-E-G-H-J-K-L,E4P,F3
A-B-C-E-G-H-J-K-L,E4R,F3
A-B-C-E-G-H-J-K-L,E4S,F3
A-B-C-E-G-H-J-K-L,E4T,F3
A-B-C-E-G-H-J-K-L,E4V,F3
A-B-C-E-G-H-J-K-L,E4W,F3
A-B-C-E-G-H-J-K-L,E4X,F3
A-B-C-E-G-H-J-K-L,E4Y,F3
A-B-C-E-G-H-J-K-L,E4Z,F3
A-B-C-E-G-H-J-K-L,E5A,F3
A-B-C-E-G-H-J-K-L,E5B,F3
A-B-C-E-G-H-J-K-L,E5C,F3
A-B-C-E-G-H-J-K-L,E5E,F3
A-B-C-E-G-H-J-K-L,E5G,F3
A-B-C-E-G-H-J-K-L,E5H,F3
A-B-C-E-G-H-J-K-L,E5J,F3
A-B-C-E-G-H-J-K-L,E5K,F3
A-B-C-E-G-H-J-K-L,E5L,F3
A-B-C-E-G-H-J-K-L,E5M,F3
A-B-C-E-G-H-J-K-L,E5N,F3
A-B-C-E-G-H-J-K-L,E5P,F3
A-B-C-E-G-H-J-K-L,E5R,F3
A-B-C-E-G-H-J-K-L,E5S,F3
A-B-C-E-G-H-J-K-L,E5T,F3
A-B-C-E-G-H-J-K-L,E5V,F3
A-B-C-E-G-H-J-K-L,E6A,F3
A-B-C-E-G-H-J-K-L,E6B,F3
A-B-C-E-G-H-J-K-L,E6C,F3
A-B-C-E-G-H-J-K-L,E6E,F3
A-B-C-E-G-H-J-K-L,E6G,F3
A-B-C-E-G-H-J-K-L,E6H,F3
A-B-C-E-G-H-J-K-L,E6J,F3
A-B-C-E-G-H-J-K-L,E6K,F3
A-B-C-E-G-H-J-K-L,E6L,F3
A-B-C-E-G-H-J-K-L,E7A,F3
A-B-C-E-G-H-J-K-L,E7B,F3
A-B-C-E-G-H-J-K-L,E7C,F3
A-B-C-E-G-H-J-K-L,E7E,F3
A-B-C-E-G-H-J-K-L,E7G,F3
A-B-C-E-G-H-J-K-L,E7H,F3
A-B-C-E-G-H-J-K-L,E7J,F3
A-B-C-E-G-H-J-K-L,E7K,F3
A-B-C-E-G-H-J-K-L,E7L,F3
A-B-C-E-G-H-J-K-L,E7M,F3
A-B-C-E-G-H-J-K-L,E7N,F3
A-B-C-E-G-H-J-K-L,E7P,F3
A-B-C-E-G-H-J-K-L,E8A,F3
A-B-C-E-G-H-J-K-L,E8B,F3
A-B-C-E-G-H-J-K-L,E8C,F3
A-B-C-E-G-H-J-K-L,E8E,F3
